Desc,Type,Code,GLAcctNo,OdooAcctNo,Parent,Notes
Other Taxes Payable,Current Liabilities,,240000000,24000,,
Accrued Capital StockTax,Current Liabilities,,240010000,24001,,
Accd Mercantile,Current Liabilities,,240050000,24005,,
Accd RE Taxes,Current Liabilities,,240100000,24010,,
Accrued Profit - Sharing,Current Liabilities,,241000000,24100,,
Accd 401K,Current Liabilities,,241010000,24101,,
Misc Accruals,Current Liabilities,,241500000,24150,,
Due to IC Disc,Current Liabilities,,241510000,24151,,
Current Portion Long-Term Debt,Current Liabilities,,242000000,24200,,
Commissions Payable,Current Liabilities,,245000000,24500,,
Current Line of Credit,Current Liabilities,,246000000,24600,,
Other Current Liabilities,Current Liabilities,,248000000,24800,,
Suspense-Clearing Acct,Current Liabilities,,249000000,24900,,
N/P - Noncurrent,Non-current Liabilities,,270000000,27000,,
Contracts Payable-Noncurrent,Non-current Liabilities,,271000000,27100,,
LT FCB Mfg Equip Loan,Non-current Liabilities,,273000000,27300,,
Cur Port Mfg Equip Loan,Non-current Liabilities,,273010000,27301,,
LT FCB Term Loan,Non-current Liabilities,,273030000,27303,,
Current Portion - Term Loan,Non-current Liabilities,,273040000,27304,,
LT FCB Term 2019,Non-current Liabilities,,273090000,27309,,
CurPor LT FCB Term Loan 2019,Non-current Liabilities,,273100000,27310,,
LT FCB Equip Loan,Non-current Liabilities,,273110000,27311,,
COVID19 SBA Loan,Non-current Liabilities,,273120000,27312,,
Other Long-Term Liabilities,Non-current Liabilities,,274000000,27400,,
RMG Capital,Equity,,390020000,39002,,
CDX Capital,Equity,,390030000,39003,,
Equity - Retained Earnings,Current Year Earnings,,390050000,39005,,
RMG - Member's Draw,Equity,,390080000,39008,,
CDX - Member's Draw,Equity,,390090000,39009,,
Accessories - Sales,Income,,400300000,40002,,
ATV Accessories - Sales,Income,,400350000,40003,,
Brackets - Sales,Income,,400400000,40004,,
CAC Pipes - Sales,Income,,400250000,40006,,
Enclosures - Sales,Income,,400030000,40007,,
Hardware - Sales,Income,,400900000,40008,,
Molded Hose - Sales,Income,,400600000,40014,,
Oil Coolers - Sales,Income,,400200000,40015,,
Overflow - Sales,Income,,,40016,,
Rads - Alum Tube and Fin - Sales,Income,,400010000,40018,,
Rads - CuBr - Sales,Income,,400000000,40019,,
Rads - Plate and Bar - Sales,Income,,400020000,40020,,
Rads - RCP - Sales,Income,,,40022,,
Spooled Hose - Sales,Income,,400800000,40023,,
Tanks - Sales,Income,,400500000,40024,,
Other - Sales,Income,,400050000 400100000 400510000,40049,,
Interest Income,Other Income,,406000000,40600,,
Vendor/ Rework Income,Other Income,,,40700,,
Handling Charges,Other Income,,407000000,,40700,
Labor Income,Other Income,,405500000,,40700,
Scrap Income Rads,Other Income,,407500000,,40700,
Scrap Inc Busheling,Other Income,,407600000,,40700,
Scrap Inc Cardboard,Other Income,,407700000,,40700,
Scrap Inc Rads Panoto,Other Income,,407800000,,40700,
Other Income,Other Income,,408000000,40800,,
Inc frm IC Disc,Other Income,,408010000,,,
Freight Income,Other Income,,409000000,40900,,
Freight Income-Sales,Other Income,,409001000,,,
Restocking Fee,Other Income,,451000000,45100,,
CK Power Returned Product,Other Income,,451010000,,,
Misc Parts - Yanmar,Other Income,,451020000,,,
Yanmar Comm on Consign Sales,Other Income,,451030000,,,
Finance Charge Income,Other Income,,454000000,,,
Shipping Charges Reimbursed,Other Income,,455000000,,,
Billing Adjustments,Other Income,,457000000,45700,,
Sales Returns & Allowances,Other Income,,480000000,48000,,
Sales Discounts,Other Income,,490000000,49000,,
JD Service Fee,Cost of Revenue,,505500000,50550,,
Yanmar Service Fee,Cost of Revenue,,505510000,50551,,
Accessories - COGS,Cost of Revenue,,500300000,50002,,
ATV Accessories - COGS,Cost of Revenue,,500350000,50003,,
Brackets - COGS,Cost of Revenue,,500400000,50004,,
CAC Pipes - COGS,Cost of Revenue,,500250000,50006,,
Enclosures - COGS,Cost of Revenue,,500030000,50007,,
Hardware - COGS,Cost of Revenue,,500900000,50008,,
Molded Hose - COGS,Cost of Revenue,,500600000,50014,,
Oil Coolers - COGS,Cost of Revenue,,500200000,50015,,
Overflow - COGS,Cost of Revenue,,,50016,,
Rads - Alum Tube and Fin - COGS,Cost of Revenue,,500010000,50018,,
Rads - CuBr - COGS,Cost of Revenue,,500000000,50019,,
Rads - Plate and Bar - COGS,Cost of Revenue,,500020000,50020,,
Rads - RCP - COGS,Cost of Revenue,,,50022,,
Spooled Hose - COGS,Cost of Revenue,,500800000,50023,,
Tanks - COGS,Cost of Revenue,,500500000,50024,,
Other - COGS,Cost of Revenue,,500050000 500510000 ,50049,,
Employee - COGS,Cost of Revenue,2,,57000,,
Health Care - COGS,Cost of Revenue,,571250000,57125,57000,
Benefits (401k) - COGS,Cost of Revenue,,571500000,57150,57000,
Wages - Direct - COGS,Cost of Revenue,,570000000 570010000,57001,57000,
Wages - Man Power - COGS,Cost of Revenue,,504600000,50460,57000,
Payroll Taxes - COGS,Cost of Revenue,,571000000,57100,57000,
MOR_SM_CUT,Cost of Revenue,111,,50111,,
MOR_SM_OTH,Cost of Revenue,112,,50112,,
MOR_SM_TUB,Cost of Revenue,113,,50113,,
VEL_AS_ASY,Cost of Revenue,311,,50311,,
VEL_AL_ALU,Cost of Revenue,321,,50321,,
SM,Cost of Revenue,110,,50110,,
AL_AS,Cost of Revenue,370,,50370,,
Purchase Price Variance,Cost of Revenue,1,511000000,51100,,
Misc Adj COGS,Cost of Revenue,1,599010000,59901,,
Scrap,Cost of Revenue,1,589000000,58900,,
Obsolete Scrap Exp,Cost of Revenue,1,599900000,59990,,
MOR,Expense,100,,61100,,
Lease,Expense,,,61101,61100,
Utilities,Expense,,,61102,61100,
Maintenance/ Repairs,Expense,,,61103,61100,
Improvements,Expense,,,61104,61100,
Taxes,Expense,,720040000 721000000 722000000 723000000,72100,61100,
NBR,Expense,200,,61200,,
Lease,Expense,,,61201,61200,
Utilities,Expense,,,61202,61200,
Maintenance/ Repairs,Expense,,,61203,61200,
Improvements,Expense,,,61204,61200,
Taxes,Expense,,721100000 722100000 723100000,72200,61200,
VEL,Expense,300,,61300,,
Lease,Expense,,,61100,61300,
Utilities,Expense,,,61101,61300,
Maintenance/ Repairs,Expense,,,61102,61300,
Improvements,Expense,,,61103,61300,
Taxes,Expense,,721200000 722200000 723200000,72300,61300,
ALL,Expense,,745200000,61900,,
Lease,Expense,,745000000 745100000,61901,61900,
Utilities,Expense,,780010000 780020000 780030000 7800400000 780050000 780100000,61902,61900,
Maintenance/ Repairs,Expense,,750000000 691000000 705000000 760100000,61903,61900,
Improvements,Expense,,745400000,61904,61900,
Taxes,Expense,,,72400,61900,
PA Sales Tax,Expense,-2,724000000,72400,,
Other Taxes,Expense,900,730000000,73000,,
MORwh,Expense,180,,79180,,
NBRwh,Expense,280,,79280,,
VELwh,Expense,380,,79380,,
MORoffice,Expense,190,,79190,,
NBRoffice,Expense,290,,79290,,
VELoffic,Expense,390,,79390,,
ALLwh,Expense,990,790000000 795000000 795100000 745300000,79000,,
Expedited Shipping Premium,Expense,900,,70900,,
Training,Expense,900,,76400,,
External Professional/ Consultants,Expense,900,690000000 690100000,69000,,
Management Fee Exp,Expense,900,745350000,74535,,
Employee - SGA,Expense,900,,77500,,
Health Care - SGA,Expense,900,,77625,77500,
Benefits (401k) - SGA,Expense,900,,77650,77500,
Wages - Direct - SGA,Expense,900,775000000 775001000 775004000,77501,77500,
Wages - Man Power - SGA,Expense,900,,77960,77500,
Payroll Taxes - SGA,Expense,900,720000000 72001000 720004000,77600,77500,
Office and Misc Expenses - SGA,Expense,900,712500000 715000000 765000000 740000000,71500,,
Expenses - Sales,Expense,901,,75201,,
Travel - Sales,Expense,901,755001000,75501,75201,
Meals & Ent - Sales,Expense,901,710001000,71001,75201,
Expenses - Operations,Expense,902,,75202,,
Travel - Operations,Expense,902,755000000,75502,75202,
Meals & Ent - Operations,Expense,902,710000000,71002,75202,
Expenses - Shipping & Receiving ,Expense,980,,75980,,
Expenses - Engineering,Expense,904,,75204,,
Travel - Engineering,Expense,904,,75504,75204,
Meals & Ent - Engineering,Expense,904,,71004,75204,
Expenses - Quality,Expense,905,,75205,,
Travel - Quality,Expense,905,,75505,75205,
Meals & Ent -Quality,Expense,905,,71005,75205,
ISO Cert,Expense,905,690050000,69005,75205,
Expenses - IT,Expense,906,,75206,,
Software,Expense,906,706000000,70600,75206,
Computers and other hardware,Expense,906,,70700,75206,
Expenses - R&D,Expense,949,751000000 751004000,75100,,
Moving Expenses,Expense,990,,71200,,
Warranty on Equipment,Expense,,796000000,,1600,What is this?
