,GLAcctNo,GLAcctKey,Description,Total,Code,cDesc
52,570000000,280,COGS-Salary - Mfg,"483,957",2,ManEmployee
53,570010000,998,COS Salary - Assembly,"205,777",2,ManEmployee
54,571250000,875,CGS Bene Health,"85,394",2,ManEmployee
55,504600000,276,Labor - COGS,"79,196",2,ManEmployee
56,571000000,837,COGS-Payroll Taxes,"60,702",2,ManEmployee
57,571500000,852,COGS Benefits,"18,982",2,ManEmployee
58,504500000,274,Tooling - COGS,"16,690",3,ExpTooling
59,504650000,896,Manuf Gas - COGS,"43,969",4,ExpGas
60,504700000,898,Manf Repairs CGS,"7,710",5,ExpRepair
61,505000000,277,Supplies - COS,"84,395",6,ExpSupplies
62,775000000,366,Wages Expense,"658,484",900,RCPsga
63,775004000,855,Wages Exp-Engineering,"327,891",900,RCPsga
64,775001000,685,Wages Exp-Sales,"136,869",900,RCPsga
65,690010000,328,Accountant Fees,"55,840",900,RCPsga
66,720000000,339,Payroll Tax Expense,"54,336",900,RCPsga
67,706000000,333,"Maintenance, Software","38,870",900,RCPsga
68,780010000,368,Telephone Expense,"38,010",900,RCPsga
69,751000000,353,Research & Development,"30,864",900,RCPsga
70,720004000,664,Payroll Tax Exp-Engineering,"27,574",900,RCPsga
71,755000000,354,Travel,"17,482",900,RCPsga
72,765000000,364,Office Supplies,"15,813",900,RCPsga
73,715000000,338,Office Expense,"14,761",900,RCPsga
74,720001000,661,Payroll Tax Exp-Sales,"11,458",900,RCPsga
75,710000000,334,Meals & Entertainment Expense,"9,782",900,RCPsga
76,760100000,357,Subcontractor - Cleaning,"9,765",900,RCPsga
77,705000000,332,Maintenance Expense,"7,032",900,RCPsga
78,745350000,912,Management Fee Exp,"7,000",900,RCPsga
79,740000000,348,Postage Expense,"1,659",900,RCPsga
80,796000000,377,Warranty on Equipment,"1,600",900,RCPsga
81,690000000,327,Legal & Professional Expense,564,900,RCPsga
82,755001000,669,Travel-Sales,"1,255",910,Sales
83,710001000,645,Meals & Ent Exp-Sales,747,910,Sales
84,690050000,874,ISO Cert Main & Quality,"9,453",930,Quality
85,751004000,749,R & D-Engineering,0,949,RandD
86,790000000,375,Warehouse Supplies,"71,641",980,Warehouse
87,795000000,376,Warehouse Expense,"18,513",980,Warehouse
88,745300000,455,Ware Trk Lease,"12,435",980,Warehouse
89,795100000,820,Warehouse Gas,"4,131",980,Warehouse
